Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
43,7:32:56 h,"Hudelson, Alicia","*Marietta, GA",USA,1984,F,5,W23,4,10.659,7:32:56 h,126106,52nd JFK 50 Mile (USA),22.11.2014,50mi  trail race,"808 (594 M, 214 F)",5:56:31 h,,
20,8:02:50 h,"Hudelson, Alicia","*Marietta, GA",USA,1984,F,3,W23,3,6.835,8:02:50 h,126106,3rd Flagstaff Sky Peaks 50 Km Mountain Run (USA),05.10.2014,55km  trail race,"37 (27 M, 10 F)",5:43:46 h,,
6,14:07:00 h,"Hudelson, Alicia","*Marietta, GA",USA,1984,F,2,W23,1,5.700,14:07:00 h,126106,2nd Cruel Jewel 50 Mile (USA),17.-18.05.2014,50mi  trail race,"51 (40 M, 11 F)",10:54:00 h,,
3,47:59:00 h,"Hudelson, Alicia",*GA,USA,1984,F,1,W23,1,4.528,47:59:00 h,126106,9th Arrowhead Winter Ultra (USA),27.-29.01.2014,135mi  trail race,"17 (14 M, 3 F)",43:26:00 h,,
14,30:55:28 h,"Hudelson, Alicia","*Appleton, WI",USA,1984,F,4,W23,4,5.204,30:55:28 h,126106,23th Superior Fall Trail Races  100 Mile (USA),06.-07.09.2013,100mi  trail race,"88 (73 M, 15 F)",23:21:36 h,,
48,11:35:32 h,"Hudelson, Alicia","*Appleton, WI",USA,1984,F,8,W23,4,6.941,11:35:32 h,126106,17th Squaw Peak 50 Mile Trail Run (USA),01.06.2013,50mi  trail race,"238 (183 M, 55 F)",8:43:38 h,,
47,9:33:11 h,"Hudelson, Alicia",,USA,1984,F,4,W23,2,8.929,9:33:11 h,126106,8th Highland Fling Race 53 Mile (GBR),27.04.2013,53mi  trail race,"417 (344 M, 73 F)",7:03:48 h,,
4,9:19:33 h,"Hudelson, Alicia","*Appleton, WI",USA,1984,F,1,W23,1,8.628,9:19:33 h,126106,4th Marquette Trail 50 Mile (USA),18.08.2012,50mi  trail race,"22 (14 M, 8 F)",7:16:29 h,,
62,26:31:00 h,"Hudelson, Alicia",,USA,1984,F,6,W23,4,5.770,26:31:00 h,126106,28th West Highland Way Race (GBR),23.-24.06.2012,153km  trail race,"119 (99 M, 20 F)",15:39:15 h,,
33,4:58:11 h,"Hudelson, Alicia","*Appleton, WI",USA,1984,F,2,W23,1,10.061,4:58:11 h,126106,5th Chippewa Moraine 50km Ultra Marathon (USA),28.04.2012,50km  trail race,"160 (113 M, 47 F)",3:51:27 h,,
19,2d 07:56:00 h,"Hudelson, Alicia",*MN,USA,1984,F,1,W23,1,3.884,2d 07:56:00 h,126106,7th Arrowhead Winter Ultra (USA),30.01.-01.02.2012,135mi  trail race,"28 (26 M, 2 F)",37:16:00 h,,
3,6:14:00 h,"Hudelson, Alicia","*Duluth, MN",USA,1984,F,1,W23,1,9.305,6:14:00 h,126106,3rd Tuscobia Winter 50 km Ultramarathon (USA),16.-17.12.2011,58km  trail race,"15 (12 M, 3 F)",5:13:00 h,,
66,35:51:08 h,"Hudelson, Alicia",*MN,USA,1984,F,7,W23,1,4.489,35:51:08 h,126106,4th Grindstone 100 Mile (USA),08.-09.10.2011,100mi  trail race,"85 (76 M, 9 F)",19:41:22 h,,
13,11:18:02 h,"Hudelson, Alicia","*Minneapolis, MN",USA,1984,F,2,W23,1,7.121,11:18:02 h,126106,2nd North Fork 50 Mile Trail Race (USA),16.07.2011,50mi  trail race,"30 (22 M, 8 F)",8:10:44 h,,
22,5:48:29 h,"Hudelson, Alicia","*Eagan, MN",USA,1984,F,3,W23,2,8.609,5:48:29 h,126106,18th Afton Trail Run 50K (USA),02.07.2011,50km  trail race,"98 (74 M, 24 F)",4:30:18 h,,
33,5:40:39 h,"Hudelson, Alicia",,USA,1984,F,5,W23,2,8.807,5:40:39 h,126106,9th Superior Spring 50 km Trail Race (USA),21.05.2011,50km  trail race,"79 (56 M, 23 F)",3:49:28 h,,
148,12:59:47 h,"Hudelson, Alicia","*Duluth, MN",USA,1984,F,31,W23,10,7.694,12:59:47 h,126106,16th Miwok 100k Trail race (USA),07.05.2011,100km  trail race,"287 (214 M, 73 F)",8:03:22 h,,
2,4:35:37 h,"Hudelson, Alicia","*Minneapolis, MN",USA,1984,F,1,W23,1,10.510,4:35:37 h,126106,2nd Winona Lake 30 Mile Trail Run (USA),09.04.2011,30mi  trail race,"27 (18 M, 9 F)",4:28:12 h,,
7,26:51:00 h,"Hudelson, Alicia","*Duluth, MN",USA,1984,F,2,W23,1,4.495,26:51:00 h,126106,2nd Tuscobia Winter 75 Mile Ultramarathon (USA),18.-19.12.2010,75mi  trail race,"10 (8 M, 2 F)",20:25:00 h,,
31,27:24:11 h,"Hudelson, Alicia","*Duluth, MN",USA,1984,F,4,W23,2,5.873,27:24:11 h,126106,15th Kettle Moraine 100 Mile Endurance Runs (USA),05.-06.06.2010,100mi  trail race,"51 (42 M, 9 F)",19:54:49 h,,
73,9:48:26 h,"Hudelson, Alicia",,USA,1984,F,12,W23,7,8.205,9:48:26 h,126106,29th Ice Age Trail 50 Mile Run (USA),08.05.2010,50mi  trail race,"219 (168 M, 51 F)",6:20:38 h,,
27,4:40:40 h,"Hudelson, Alicia","*St. Paul, MN",USA,1984,F,5,W23,2,10.689,4:40:40 h,126106,20th Trail Mix Race (USA),17.04.2010,50km  trail race,"110 (79 M, 31 F)",3:16:52 h,,
12,5:25:57 h,"Hudelson, Alicia","*Duluth, MN",USA,1984,F,4,W23,3,9.204,5:25:57 h,126106,3rd Chippewa Moraine 50km Ultra Marathon (USA),10.04.2010,50km  trail race,"56 (42 M, 14 F)",4:17:48 h,,
8,16:28:00 h,"Hudelson, Alicia",*MN,USA,1984,F,2,W23,2,6.073,16:28:00 h,126106,1st Wild Duluth 100 km Races (USA),17.10.2009,100km  trail race,"12 (9 M, 3 F)",10:52:00 h,,
404,17:26:14 h,,,USA,1984,F,45,W23,11,4.961,17:26:14 h,126106,2ème Courmayeur-Champex-Chamonix (CCC) (ITA),24.-25.08.2007,86.5km  trail race,"1330 (1127 M, 203 F)",10:19:46 h,"Hudelson, Alicia",
19,9:21:37 h,"Sproson, Charles",,GBR,1973,M,15,M40,5,8.597,8:47:19 h,845009,Lakeland 50 Mile (GBR),28.-29.07.2018,50mi  trail race,"756 (513 M, 243 F)",7:36:11 h,,
28,9:32:06 h,"Sproson, Charles",Mountain Running,GBR,1973,M,25,M40,6,8.439,9:06:05 h,845009,Lakeland 50 Mile (GBR),29.-30.07.2016,50mi  trail race,"625 (469 M, 156 F)",7:38:48 h,,
17,10:02:39 h,"Sproson, Charles",,GBR,1973,M,16,M40,4,5.675,9:35:14 h,845009,V3K Ultra Skyrunning 2016 (GBR),18.06.2016,57km  trail race,"149 (123 M, 26 F)",7:46:39 h,,
12,2d 10:45:05 h,"Sproson, Charles",,GBR,1973,M,10,M35,3,4.970,2d 09:41:38 h,845009,2nd Dragon's Back Race (GBR),03.-07.09.2012,292km/5stages  trail race,"32 (26 M, 6 F)",43:25:30 h,,
1,6:21:00 h,"Jebb, Robert",Helm Hill,GBR,,M,1,#NA,1,9.377,6:21:00 h,645853,Old County Tops Fell Race (GBR),19.05.2018,37mi  trail race,"208 (173 M, 35 F)",6:21:00 h,,
1,6:38:03 h,"Jebb, Robert",Bingley Harriers,GBR,,M,1,#NA,1,8.976,6:38:03 h,645853,Old County Tops Fell Race (GBR),20.05.2017,37mi  trail race,"176 (150 M, 26 F)",6:38:03 h,,
15,4:24:27 h,"Jebb, Robert",Bingley,GBR,,M,15,#NA,3,11.575,4:24:27 h,645853,Haworth Hobble 32 Miles (GBR),11.03.2017,31.7mi  trail race,"424 (321 M, 103 F)",3:54:18 h,,
5,7:17:14 h,"Jebb, Robert",Bingley,GBR,,M,5,#NA,1,8.171,7:17:14 h,645853,Old County Tops Fell Race (GBR),19.05.2012,37mi  trail race,"168 (148 M, 20 F)",7:03:30 h,,
1,4:09:44 h,"Jebb, Robert",,GBR,,M,1,#NA,1,13.214,4:09:44 h,645853,16ème La 6000D (FRA),31.07.2005,55km  trail race,"618 (561 M, 57 F)",4:09:44 h,,
1,4:18:01 h,,,GBR,,M,1,#NA,1,12.790,4:18:01 h,645853,15ème La 6000D (FRA),25.07.2004,55km  trail race,"622 (580 M, 42 F)",4:18:01 h,"Jebb, Robert",
161,10:18:04 h,"Masters, Jim",Cumberland FR,GBR,,M,139,#NA,50,5.781,10:18:04 h,1014811,Old County Tops Fell Race (GBR),18.05.2019,37mi  trail race,"246 (201 M, 45 F)",6:58:08 h,,
15,2d 09:42:16 h,"Masters, Jim",,GBR,,M,14,#NA,2,6.932,2d 09:42:16 h,1014811,Cape Wrath Ultra (GBR),20.-27.05.2018,400km/8stages  stage race,"110 (89 M, 21 F)",45:49:42 h,,
83,5:16:33 h,"Masters, Jim",Team Trom,GBR,,M,69,#NA,15,9.670,5:16:33 h,1014811,Haworth Hobble 32 Miles (GBR),11.03.2017,31.7mi  trail race,"424 (321 M, 103 F)",3:54:18 h,,
13,7:54:45 h,,,USA,1979,F,3,W40,1,8.088,7:43:28 h,113980,5th Ultra Trail d'Angkor 64km - Bayon Trail (CAM),18.01.2020,64km  trail race,"75 (61 M, 14 F)",5:18:49 h,"Aarons, Jamie",
231,22:13:27 h,,*Blanefield,USA,1979,F,9,W35,2,5.175,21:48:47 h,113980,8ème La Maxi Race du Lac d'Annecy - Ultra Race (FRA),25.05.2019,115km  trail race,"645 (618 M, 27 F)",13:47:32 h,"Aarons, Jamie",
5,38:13:31 h,,,USA,1979,F,1,W35,1,4.471,37:31:06 h,113980,2nd Ultra-Trail Snowdonia UTS100 (GBR),10.-12.05.2019,170.9km  trail race,"30 (27 M, 3 F)",31:44:28 h,"Aarons, Jamie",
26,3d 23:54:35 h,,,USA,1979,F,2,W35,1,3.441,3d 22:35:11 h,113980,9° Tor des Géants - 330 km Endurance Trail della Valle d'Aosta (ITA),09.-16.09.2018,330km  trail race,"534 (480 M, 54 F)",3d 02:03:00 h,"Aarons, Jamie",
8,18:24:10 h,"Aarons, Jamie",,USA,1979,F,2,W35,1,8.314,18:08:56 h,113980,34th West Highland Way Race (GBR),23.-24.06.2018,153km  trail race,"198 (150 M, 48 F)",16:24:14 h,,
3,41:23:16 h,"Aarons, Jamie",,USA,1979,F,1,W35,1,3.966,40:49:00 h,113980,1st Ultra-Trail Snowdonia UTS100 (GBR),11.-13.05.2018,102mi  trail race,"13 (12 M, 1 F)",34:05:57 h,,
149,19:22:08 h,,,USA,1979,F,18,W35,7,6.454,19:06:06 h,113980,Transgrancanaria 125 km (ESP),23.-25.02.2018,125km  trail race,"679 (603 M, 76 F)",12:42:08 h,"Aarons, Jamie",
9,33:50:53 h,,Corsa Per Il Vino Rosso,USA,1979,F,3,W35,1,4.845,33:22:52 h,113980,S1 Ultra (ITA),05.-06.01.2018,164km  trail race,"33 (26 M, 7 F)",28:56:56 h,"Aarons, Jamie",
11,9:37:31 h,"Aarons, Jamie",,USA,1979,F,1,W35,1,8.311,9:31:52 h,113980,1st Ochil Ultra 80km (GBR),30.09.2017,80km  trail race,"62 (51 M, 11 F)",8:17:19 h,,
9,9:12:53 h,"Aarons, Jamie",,USA,1979,F,1,W35,1,9.606,9:07:28 h,113980,9th Cateran Trail 55 Mile Ultra (GBR),13.05.2017,55mi  trail race,"92 (66 M, 26 F)",7:57:40 h,,
73,5:12:22 h,"Aarons, Jamie",,USA,1979,F,13,W35,5,9.799,5:09:19 h,113980,Haworth Hobble 32 Miles (GBR),11.03.2017,31.7mi  trail race,"424 (321 M, 103 F)",3:54:18 h,,
193,5d 11:26:21 h,,,USA,1979,F,25,W35,7,2.511,5d 10:35:06 h,113980,7° Tor des Géants - 330 km Endurance Trail della Valle d'Aosta (ITA),11.-18.09.2016,330km  trail race,"446 (400 M, 46 F)",3d 03:10:22 h,"Aarons, Jamie",
16,8:55:49 h,"Aarons, Jamie",*Blanefield,USA,1979,F,3,W35,1,9.011,8:52:21 h,113980,5th Marin Ultra Challenge 50 Mile Race (USA),12.03.2016,50mi  trail race,"125 (90 M, 35 F)",6:39:38 h,,
224,43:39:43 h,,Team Women`S Running M...,USA,1979,F,31,W35,10,6.711,43:29:30 h,113980,11. Goretex TransAlpine-Run (GER),29.08.-05.09.2015,293km/8stages  stage race,"485 (372 M, 113 F)",28:33:16 h,"Aarons, Jamie",
9,19:28:23 h,"Aarons, Jamie",,USA,1979,F,1,W35,1,7.857,19:23:50 h,113980,31st West Highland Way Race (GBR),20.-21.06.2015,153km  trail race,"155 (121 M, 34 F)",14:14:44 h,,
83,9:32:31 h,,,USA,1979,F,6,W35,3,8.939,9:30:18 h,113980,10th Highland Fling Race 53 Mile (GBR),25.04.2015,53mi  trail race,"647 (485 M, 162 F)",7:04:07 h,"Aarons, Jamie",
42,11:18:02 h,"Aarons, Jamie",,USA,1979,F,4,W23,2,7.079,11:16:45 h,113980,Lake District 3x3000 Ultra Trail (GBR),04.10.2014,80km  trail race,"160 (144 M, 16 F)",8:28:56 h,,
185,40:37:26 h,,Team Fetcheveryone.Com...,USA,1979,F,28,W35,6,7.213,40:32:49 h,113980,10. Goretex TransAlpine-Run (GER),30.08.-06.09.2014,293km/8stages  stage race,"447 (361 M, 86 F)",25:38:41 h,"Aarons, Jamie",
34,9:11:35 h,,,USA,1979,F,5,W23,3,9.278,9:10:33 h,113980,9th Highland Fling Race 53 Mile (GBR),26.04.2014,53mi  trail race,"566 (435 M, 131 F)",7:29:14 h,"Aarons, Jamie",
35,4:24:00 h,"Aarons, Jamie",,USA,1979,F,4,W23,1,12.070,4:24:00 h,113980,Glen Ogle 33 (GBR),05.11.2011,33mi  trail race,"127 (89 M, 38 F)",3:21:00 h,,
2,109.435 km,"Aarons, Jamie",,USA,1979,F,2,W23,2,9.120,109.435 km,113980,Glenmore 12 hour Trail Race (GBR),03.09.2011,12h  trail race,"7 (2 M, 5 F)",115.872 km,,
11,10:04:24 h,"Aarons, Jamie",,USA,1979,F,2,W23,1,8.787,10:04:24 h,113980,3rd Cateran Trail 55 Mile Ultra (GBR),21.05.2011,55mi  trail race,"49 (35 M, 14 F)",8:14:41 h,,
22,4:24:00 h,"Aarons, Jamie",,USA,1979,F,2,W23,1,12.070,4:24:00 h,113980,D33 – Deeside Way Ultra (GBR),19.03.2011,33mi  trail race,"154 (115 M, 39 F)",3:29:59 h,,
15,5:18:49 h,"Aarons, Jamie",,USA,1979,F,1,W23,1,10.903,5:18:49 h,113980,Speyside Way Race (GBR),28.08.2010,36mi  trail race,"85 (57 M, 28 F)",4:08:47 h,,
15,6:00:16 h,"Aarons, Jamie",,USA,1979,F,4,W23,2,10.721,6:00:16 h,113980,Clyde Stride – Clyde Walkway Race (GBR),17.07.2010,40mi  trail race,"85 (63 M, 22 F)",5:08:05 h,,
12,19:54:28 h,"Aarons, Jamie",,USA,1979,F,3,W23,1,7.685,19:54:28 h,113980,26th West Highland Way Race (GBR),19.-20.06.2010,153km  trail race,"108 (85 M, 23 F)",16:36:04 h,,
35,9:52:48 h,"Aarons, Jamie",,USA,1979,F,4,W23,1,8.633,9:52:48 h,113980,5th Highland Fling Race 53 Mile (GBR),24.04.2010,53mi  trail race,"271 (212 M, 59 F)",7:45:13 h,,
97,10:50:01 h,"Aarons, Jamie",,USA,1979,F,10,W23,4,7.873,10:50:01 h,113980,4th Highland Fling Race 53 Mile (GBR),25.04.2009,53mi  trail race,"242 (205 M, 37 F)",7:19:09 h,,
17,8:08:23 h,"Jepson, Judith",Dark Peak FR,GBR,,F,1,#NA,7,7.315,8:08:23 h,1467453,Old County Tops Fell Race (GBR),21.05.2016,37mi  trail race,"186 (156 M, 30 F)",6:53:51 h,,
9,7:54:50 h,"Jepson, Judith",Dark Peak,GBR,,F,1,#NA,4,7.524,7:54:50 h,1467453,Old County Tops Fell Race (GBR),19.05.2012,37mi  trail race,"168 (148 M, 20 F)",7:03:30 h,,
53,7:07:29 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,45,M40,8,7.018,6:44:42 h,390332,15th Orcas Island 50k (USA),01.02.2020,50km  trail race,"164 (95 M, 69 F)",5:03:48 h,,
11,31:15:00 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,11,M40,5,5.150,29:49:42 h,390332,18th Plain 100 Mile Endurance Run (USA),14.-15.09.2019,100mi  trail race,"21 (20 M, 1 F)",23:40:00 h,,
57,16:05:37 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,53,M40,15,6.214,15:21:41 h,390332,6th Beaverhead 100K Endurance Run (USA),13.07.2019,100km  trail race,"124 (101 M, 23 F)",11:18:44 h,,
43,6:24:40 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,38,M40,4,7.799,6:07:10 h,390332,14th Orcas Island 50k (USA),02.02.2019,50km  trail race,"185 (116 M, 69 F)",4:53:49 h,,
55,27:08:01 h,,"*Seattle, WA",USA,1976,M,46,M40,10,5.931,26:06:39 h,390332,20th Cascade Crest Classic 100 Mile (USA),25.-26.08.2018,100mi  trail race,"147 (120 M, 27 F)",18:03:00 h,"Lumb, Jon",
5,14:07:00 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,4,M40,3,5.700,13:41:16 h,390332,1st Mount Baker Ultra Marathon (USA),04.06.2017,50mi  trail race,"14 (10 M, 4 F)",10:01:00 h,,
70,12:06:04 h,,,USA,1976,M,62,M40,15,8.264,11:44:00 h,390332,22nd Miwok 100k Trail Race (USA),06.05.2017,100km  trail race,"285 (213 M, 72 F)",8:45:55 h,"Lumb, Jon",
5,6:09:41 h,"Lumb, Jon",,USA,1976,M,5,M40,1,8.115,5:58:27 h,390332,8th Grand Ridge 50 Km Trail Run (USA),22.04.2017,50km  trail race,"14 (10 M, 4 F)",5:08:23 h,,
11,61.798 km,"Lumb, Jon","*Seattle, WA",USA,1976,M,5,M40,2,5.150,63.736 km,390332,8th Dizzy Daze 12 hours (USA),25.03.2017,12h  road race,"41 (24 M, 17 F)",97.848 km,,
49,6:32:44 h,,"*Seattle, WA",USA,1976,M,40,M40,9,7.639,6:20:48 h,390332,12th Orcas Island 50k (USA),04.02.2017,50km  trail race,"200 (132 M, 68 F)",4:56:41 h,"Lumb, Jon",
27,25:02:42 h,,"*Seattle, WA",USA,1976,M,20,M35,6,6.426,24:26:57 h,390332,18th Cascade Crest Classic 100 Mile (USA),27.-28.08.2016,100mi  trail race,"127 (88 M, 39 F)",18:38:52 h,"Lumb, Jon",
14,7:54:32 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,11,M35,5,10.174,7:43:15 h,390332,8th Sun Mountain 50 Mile Trail Races (USA),21.05.2016,50mi  trail race,"86 (54 M, 32 F)",6:26:21 h,,
67,5:08:34 h,,"*Seattle, WA",USA,1976,M,50,M35,13,9.722,5:01:14 h,390332,24th Chuckanut 50K (USA),19.03.2016,50km  trail race,"295 (193 M, 102 F)",3:38:17 h,"Lumb, Jon",
29,5:35:47 h,,"*Seattle, WA",USA,1976,M,26,M35,6,8.934,5:27:48 h,390332,11th Orcas Island 50k (USA),06.02.2016,50km  trail race,"237 (174 M, 63 F)",4:22:00 h,"Lumb, Jon",
43,9:08:23 h,,"*Seattle, WA",USA,1976,M,33,M35,7,8.804,8:58:31 h,390332,23rd White River 50 Mile Trail Run (USA),25.07.2015,50mi  trail race,"276 (172 M, 104 F)",7:03:52 h,"Lumb, Jon",
6,5:34:24 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,5,M35,1,8.971,5:28:23 h,390332,4th Beacon Rock 50K (USA),13.06.2015,50km  trail race,"80 (50 M, 30 F)",4:32:06 h,,
59,7:35:54 h,,"*Seattle, WA",USA,1976,M,52,M35,12,6.580,7:27:42 h,390332,Yakima Skyline Rim 50k (USA),18.04.2015,50km  trail race,"152 (119 M, 33 F)",5:14:50 h,"Lumb, Jon",
59,6:21:32 h,,"*Seattle, WA",USA,1976,M,52,M35,14,7.863,6:14:40 h,390332,10th Orcas Island 50k (USA),07.02.2015,50km  trail race,"241 (165 M, 76 F)",4:28:50 h,"Lumb, Jon",
13,68.332 km,"Lumb, Jon","*Seattle, WA",USA,1976,M,11,M35,2,5.694,69.232 km,390332,8th Carkeek 12 Hour (USA),01.11.2014,12h  road race,"24 (15 M, 9 F)",98.025 km,,
18,5:05:52 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,14,M35,6,9.808,5:01:54 h,390332,1st Oregon Coast 50k (USA),18.10.2014,50km  trail race,"151 (77 M, 74 F)",3:59:37 h,,
163,9:24:04 h,"Lumb, Jon",,USA,1976,M,138,M35,29,5.319,9:16:45 h,390332,2nd The Rut Mountain Runs (USA),13.09.2014,50km  trail race,"286 (213 M, 73 F)",5:09:32 h,,
36,9:02:54 h,,"*Seattle, WA",USA,1976,M,33,M35,7,8.893,8:55:51 h,390332,22nd White River 50 Mile Trail Run (USA),26.07.2014,50mi  trail race,"247 (183 M, 64 F)",6:26:44 h,"Lumb, Jon",
32,5:27:32 h,,"*Seattle, WA",USA,1976,M,29,M35,3,9.159,5:23:17 h,390332,4th Gorge Waterfalls 50k (USA),29.03.2014,50km  trail race,"236 (141 M, 95 F)",4:05:28 h,"Lumb, Jon",
41,5:55:01 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,36,M35,8,8.450,5:50:25 h,390332,9th Orcas Island 50k (USA),01.02.2014,50km  trail race,"200 (124 M, 76 F)",4:25:21 h,,
22,5:00:53 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,19,M35,6,9.971,4:58:13 h,390332,3rd Deception Pass 50 km (USA),14.12.2013,50km  trail race,"183 (105 M, 78 F)",4:15:51 h,,
8,7:02:05 h,"Lumb, Jon",,USA,1976,M,8,M35,2,7.108,6:58:20 h,390332,2nd Volcanic 50 (USA),07.09.2013,50km  trail race,"118 (100 M, 18 F)",6:01:19 h,,
21,7:39:48 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,18,M35,5,7.829,7:35:43 h,390332,3rd Angels Staircase 60k (USA),11.08.2013,60km  trail race,"75 (55 M, 20 F)",5:29:39 h,,
8,8:28:34 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,6,M35,1,9.493,8:24:03 h,390332,5th Sun Mountain 50 Mile Trail Races (USA),19.05.2013,50mi  trail race,"78 (53 M, 25 F)",6:49:08 h,,
7,5:20:01 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,7,M35,1,10.312,5:17:11 h,390332,9th Capitol Peak 55K (USA),27.04.2013,55km  trail race,"51 (38 M, 13 F)",4:25:01 h,,
89,5:11:24 h,,"*Seattle, WA",USA,1976,M,74,M35,16,9.634,5:08:38 h,390332,21th Chuckanut 50K (USA),16.03.2013,50km  trail race,"346 (236 M, 110 F)",3:40:17 h,"Lumb, Jon",
57,6:13:38 h,"Lumb, Jon","*Seattle, WA",USA,1976,M,49,M35,8,8.029,6:10:19 h,390332,8th Orcas Island 50k (USA),02.02.2013,50km  trail race,"215 (145 M, 70 F)",4:21:42 h,,
39,10:38:58 h,"Children, Mark",,GBR,1984,M,33,M35,4,4.883,10:27:28 h,568809,5th Ben Nevis Ultra SkyRace (GBR),18.09.2022,52km  trail race,"128 (103 M, 25 F)",8:06:17 h,,
3,9:32:53 h,"Children, Mark",,GBR,1984,M,3,M35,2,5.027,9:25:27 h,568809,10 Peaks The Lakes - Short Trail (GBR),25.-26.06.2022,48km  trail race,"35 (25 M, 10 F)",8:41:08 h,,
42,12:43:25 h,"Children, Mark",,GBR,1984,M,36,M35,10,6.324,12:33:30 h,568809,Lakes in a day Ultra (GBR),09.-10.10.2021,50mi  trail race,"347 (284 M, 63 F)",9:08:00 h,,
53,21:06:22 h,,Lonsdale Fell Runners,GBR,1984,M,50,M35,8,7.625,20:55:06 h,568809,9th South Downs Way 100 Mile Race (GBR),12.-13.06.2021,100mi  trail race,"308 (255 M, 53 F)",15:30:16 h,"Children, Mark",
35,25:32:24 h,,Lonsdale Fell Runners,GBR,1984,M,30,M35,10,6.490,25:18:46 h,568809,10th North Downs Way 100 Mile Race (GBR),08.-09.08.2020,103mi  trail race,"107 (92 M, 15 F)",19:33:27 h,"Children, Mark",
52,8:05:25 h,"Children, Mark",,GBR,1984,M,45,M35,11,7.559,8:02:45 h,568809,10th Tour de Helvellyn (GBR),21.12.2019,38mi  trail race,"187 (145 M, 42 F)",5:59:40 h,,
62,7:19:35 h,,,GBR,1984,M,55,M23,22,7.469,7:19:30 h,568809,Coastal Trail Series - Gower Ultra (GBR),12.11.2016,34mi  trail race,"133 (111 M, 22 F)",5:32:21 h,"Children, Mark",
135,10:30:45 h,"Children, Mark",Lonsdale FR,GBR,1984,M,118,M23,16,5.664,10:30:45 h,568809,Old County Tops Fell Race (GBR),21.05.2016,37mi  trail race,"186 (156 M, 30 F)",6:53:51 h,,
133,10:08:04 h,"Children, Mark",Lancaster & Morecambe,GBR,1984,M,119,M23,20,5.876,10:08:04 h,568809,Old County Tops Fell Race (GBR),16.05.2015,37mi  trail race,"168 (146 M, 22 F)",6:48:22 h,,
37,9:34:48 h,"Children, Mark",,GBR,1984,M,26,M23,6,8.038,9:34:48 h,568809,Round the Rock Jersey 48 Miles (GBR),02.08.2014,77km  trail race,"63 (47 M, 16 F)",6:23:55 h,,
297,7:24:36 h,"Ludley, Kate",Lonsdale,GBR,,F,63,#NA,68,6.885,7:24:36 h,907208,Haworth Hobble 32 Miles (GBR),12.03.2016,31.7mi  trail race,"372 (285 M, 87 F)",4:16:01 h,,
117,20:37:00 h,"Fountain, David",,GBR,,M,102,#NA,25,4.762,20:37:00 h,505532,57th The Fellsman (GBR),27.-28.04.2019,61mi  trail race,"220 (179 M, 41 F)",11:18:00 h,,
133,10:33:18 h,"Fountain, David",Wharfedale,GBR,,M,116,#NA,39,5.641,10:33:18 h,505532,Old County Tops Fell Race (GBR),20.05.2017,37mi  trail race,"176 (150 M, 26 F)",6:38:03 h,,
51,17:10:00 h,"Fountain, David",,GBR,,M,50,#NA,5,5.719,17:10:00 h,505532,54th The Fellsman (GBR),30.04.-01.05.2016,61mi  trail race,"217 (191 M, 26 F)",11:31:00 h,,
122,6:04:50 h,"Fountain, David",Harrogate,GBR,,M,107,#NA,23,8.390,6:04:50 h,505532,Haworth Hobble 32 Miles (GBR),12.03.2016,31.7mi  trail race,"372 (285 M, 87 F)",4:16:01 h,,
138,5:55:32 h,"Fountain, David",Harrogate,GBR,,M,125,#NA,31,8.691,5:55:32 h,505532,Haworth Hobble 32 Miles (GBR),14.03.2015,32mi  trail race,"383 (301 M, 82 F)",4:09:10 h,,
242,6:32:41 h,"Fountain, David",Harrogate,GBR,,M,215,#NA,33,7.869,6:32:41 h,505532,Haworth Hobble 32 Miles (GBR),15.03.2014,32mi  trail race,"407 (330 M, 77 F)",4:04:31 h,,
11,11:57:33 h,"Perry, Martin",ESK Valley Fell Club,GBR,1965,M,10,M50,1,7.401,10:23:29 h,926379,Montane Cheviot Goat (GBR),01.-02.12.2018,55mi  trail race,"154 (140 M, 14 F)",9:24:14 h,,
81,113.087 km,"Perry, Martin",,GBR,1965,M,52,M50,9,4.712,130.150 km,926379,Glenmore 24 hour Trail Race (GBR),01.-02.09.2018,24h  trail race,"119 (79 M, 40 F)",212.204 km,,
74,7:18:11 h,"Perry, Martin",,GBR,1965,M,48,M50,6,8.043,6:20:45 h,926379,9th Speyside Way Race (GBR),25.08.2018,36.5mi  trail race,"99 (65 M, 34 F)",4:21:15 h,,
129,7:17:21 h,,Fraserburgh Running Club,GBR,1965,M,82,M50,10,6.844,6:20:01 h,926379,3rd Glen Lyon (GBR),05.05.2018,31mi  trail race,"139 (85 M, 54 F)",4:09:39 h,"Perry, Martin",
